zip_code,latest_year,latest_price,cagr,price_volatility,turnover,median_dom,avg_sale_to_list,sold_above_list,off_market_2w,years_covered,afford_score,growth_score,median_dom_score,avg_sale_to_list_score,sold_above_list_score,market_score,stability_score,ftb_score,state,state_code,parent_metro_region,why_it_ranks
15379,2015.0,35000.0,0.3,0.0,2.0,144.33333333333334,0.5682820804333334,0.0,0.0,3.0,0.9996114241305615,1.0,0.9711021505376344,0.9490432235572139,1.0,0.9733817913649494,1.0,0.9932094462869339,Pennsylvania,PA,"Pittsburgh, PA","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
38639,2016.0,30000.0,0.3,0.0,2.0,135.66666666666666,0.8452950558,0.0,0.0,3.0,0.999668567640773,1.0,0.9728494623655914,0.7423171225373135,1.0,0.9050555283009682,1.0,0.9761478807495126,Mississippi,MS,"Clarksdale, MS","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
48620,2022.0,106000.0,0.3,0.0,2.0,120.0,0.9059246117,0.0,0.0,3.0,0.9987999862855576,1.0,0.976008064516129,0.6970711852985074,1.0,0.8910264166048788,1.0,0.9723365993511649,Michigan,MI,"Midland, MI","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
13649,2020.0,136000.0,0.3,0.0,2.0,104.0,0.9455435613000001,0.0,0.0,3.0,0.9984571252242883,1.0,0.979233870967742,0.667504805,1.0,0.8822462253225806,1.0,0.970021550159146,New York,NY,"Ogdensburg, NY","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
28353,2025.0,148000.0,0.3,0.0,2.0,315.3333333333333,0.9029720874999999,0.0,0.0,3.0,0.9983199807997806,1.0,0.9366263440860215,0.6992745615671643,1.0,0.8786336352177285,1.0,0.9690704020843552,North Carolina,NC,"Laurinburg, NC","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
66606,2025.0,105500.0,0.3,0.13354096756913597,2.0,80.25192307692306,0.9348973431674507,0.003871856489166667,0.1451393810426282,13.0,0.9988057006365787,1.0,0.9840217897022333,0.6754497439048875,0.9961281435108333,0.8851998923726514,0.8664590324308641,0.950850823180595,Kansas,KS,"Topeka, KS","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
15553,2021.0,100000.0,0.3,0.0,2.0,374.6,0.89218261417,0.3,0.0,2.0,0.9988685584978114,1.0,0.9246774193548387,0.707326407335821,0.7,0.7773346088968864,1.0,0.9439376476984557,Pennsylvania,PA,"Somerset, PA","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
77590,2025.0,167460.0,0.3,0.08940832495852659,2.0,61.37743506493506,0.946981691127078,0.1614807783260985,0.2742962632377078,14.0,0.9980975782580372,1.0,0.9878271300272309,0.6664315737857628,0.8385192216739015,0.8309259751622985,0.9105916750414734,0.9436543974371088,Texas,TX,"Houston, TX","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
36330,2025.0,198380.0,0.3,0.09299067205346885,2.0,104.85000000000002,0.9615420215884523,0.13651551096232142,0.09097442726383333,14.0,0.997744202790889,1.0,0.9790625,0.6555656555310058,0.8634844890376786,0.832704214856228,0.9070093279465311,0.9434379238828479,Alabama,AL,"Enterprise, AL","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
70563,2025.0,187796.0,0.3,0.12288785438064748,2.0,93.53095238095237,0.9589422457644048,0.09860449941285714,0.11285678103010281,14.0,0.9978651641733048,1.0,0.9813445660522273,0.6575057867429815,0.9013955005871429,0.8467486177941171,0.8771121456193525,0.9425067837520889,Louisiana,LA,"Lafayette, LA","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
32514,2025.0,182860.0,0.3,0.12475786822722978,2.0,85.62830086580085,0.9662740996995564,0.15859499242793834,0.13464717676873214,14.0,0.9979215762465857,1.0,0.9829378425673788,0.652034253955555,0.8414050075720616,0.8254590346983318,0.8752421317727702,0.9369236301268035,Florida,FL,"Pensacola, FL","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
38127,2025.0,78645.8,0.3,0.17305555054733507,2.0,66.99236111111111,0.9266223558069444,0.11701063734993056,0.28785387320122474,12.0,0.9991126092869633,1.0,0.9866950884856631,0.681625107606758,0.8829893626500694,0.8504365195808301,0.826944449452665,0.9363402105635443,Tennessee,TN,"Memphis, TN","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
32504,2025.0,189660.0,0.3,0.13648415979978515,2.0,85.3875,0.9623271320844048,0.1622030532245238,0.15279406711626783,14.0,0.997843861072698,1.0,0.9829863911290323,0.6549797521758174,0.8377969467754762,0.8252543633601087,0.8635158402002149,0.9350863182455038,Florida,FL,"Pensacola, FL","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
32304,2025.0,193900.0,0.3,0.1551752178190344,2.0,87.64047619047618,0.949763279461905,0.13733725432908334,0.1951533385052381,14.0,0.9977954033760386,1.0,0.9825321620583718,0.6643557615955933,0.8626627456709166,0.8365168897749605,0.8448247821809656,0.9350813309524983,Florida,FL,"Tallahassee, FL","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
70460,2025.0,159850.0,0.3,0.1496114266578662,2.0,125.63571428571429,0.9557196333929764,0.14939941740125,0.14499082824243506,14.0,0.9981845506805792,1.0,0.974871831797235,0.6599107213485251,0.8506005825987499,0.8284610452481701,0.8503885733421338,0.9340381400515654,Louisiana,LA,"New Orleans, LA","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
